0,1,2,3,4,5,6
Vallensbæk,"[0, 0, 153, 131, 179, 273, 303, 805]","[67, 134, 401, 282, 287, 788, 957, 1453]","[451, 407, 461, 489, 480, 452, 120, 67]","[982, 822, 297, 789, 855, 295, 44, 16]","[508, 422, 187, 348, 333, 103, 29, 12]","[295, 236, 263, 270, 201, 70, 41, 18]"
Silkeborg,"[1, 15, 1635, 1270, 1442, 2308, 2646, 5213]","[438, 885, 3010, 1602, 1979, 5543, 7390, 7598]","[2124, 2381, 2355, 2227, 2295, 2915, 741, 268]","[4906, 4958, 1422, 3683, 4688, 1662, 225, 68]","[2534, 3041, 555, 1376, 2089, 561, 86, 38]","[725, 954, 397, 452, 581, 253, 90, 38]"
Brøndby,"[0, 11, 554, 460, 578, 925, 1066, 2285]","[228, 341, 1049, 679, 736, 1844, 2263, 2392]","[841, 808, 930, 978, 911, 1062, 335, 154]","[1638, 1397, 754, 1327, 1274, 659, 133, 47]","[826, 809, 393, 600, 567, 225, 64, 24]","[558, 549, 442, 458, 449, 170, 120, 74]"
Lyngby-Taarbæk,"[0, 6, 2501, 917, 900, 1548, 1861, 4113]","[292, 623, 2434, 1094, 947, 2631, 3546, 3774]","[1149, 1516, 1111, 1246, 1232, 1802, 507, 168]","[2980, 2912, 586, 1748, 2996, 1273, 153, 48]","[1381, 1512, 310, 606, 1180, 371, 50, 31]","[416, 481, 285, 233, 335, 133, 51, 30]"
Holstebro,"[0, 16, 1618, 910, 984, 1456, 1614, 3411]","[253, 466, 2323, 960, 1054, 3469, 4916, 5003]","[1209, 1299, 1471, 1221, 1215, 1581, 412, 163]","[2893, 2811, 853, 2155, 2468, 902, 99, 19]","[1717, 1874, 343, 985, 1230, 306, 54, 15]","[554, 700, 354, 332, 365, 151, 41, 20]"
Fredericia,"[0, 12, 1317, 941, 1205, 1601, 1591, 3184]","[335, 557, 1852, 1044, 1196, 3428, 3868, 4606]","[1142, 1313, 1294, 1117, 1336, 1397, 337, 125]","[2340, 2302, 738, 1745, 2095, 738, 77, 31]","[1065, 1267, 239, 618, 813, 202, 34, 18]","[461, 565, 229, 283, 308, 107, 44, 19]"
Esbjerg,"[0, 25, 3969, 2069, 2117, 3436, 3752, 7140]","[627, 1057, 5332, 2016, 2399, 7438, 9581, 9644]","[2592, 2713, 3027, 2545, 2640, 3077, 755, 296]","[5354, 5111, 1693, 4054, 4506, 1651, 198, 50]","[2782, 2941, 547, 1610, 1974, 422, 76, 24]","[906, 1010, 415, 493, 529, 203, 79, 42]"
Syddjurs,"[0, 3, 362, 404, 611, 1113, 1404, 2919]","[168, 343, 754, 633, 939, 2710, 4004, 4582]","[812, 983, 947, 920, 1028, 1420, 463, 204]","[1928, 2118, 637, 1430, 1955, 827, 148, 43]","[964, 1167, 243, 534, 842, 253, 70, 20]","[411, 396, 316, 269, 278, 131, 67, 31]"
Skanderborg,"[0, 5, 586, 588, 843, 1234, 1427, 2857]","[238, 529, 1133, 906, 1206, 3617, 4701, 4927]","[1422, 1643, 1305, 1604, 1591, 2047, 509, 173]","[4415, 3984, 928, 3177, 3916, 1394, 150, 39]","[1902, 2143, 319, 980, 1560, 384, 47, 25]","[456, 550, 213, 260, 358, 132, 74, 24]"
Norddjurs,"[0, 53, 718, 527, 670, 1194, 1415, 2774]","[177, 348, 1145, 590, 869, 2663, 3534, 3640]","[714, 871, 882, 786, 921, 1082, 359, 125]","[1390, 1366, 573, 1045, 1197, 541, 96, 26]","[669, 897, 231, 400, 564, 190, 27, 10]","[303, 334, 232, 202, 203, 104, 38, 17]"
Aarhus,"[1, 34, 17769, 7702, 5870, 8623, 9714, 15949]","[1774, 3040, 40090, 10135, 6034, 13885, 18508, 18626]","[8411, 6749, 15916, 9632, 6401, 7821, 2438, 780]","[16110, 12232, 6916, 11748, 12113, 5155, 857, 237]","[7329, 6920, 2849, 4024, 5208, 1655, 336, 128]","[3442, 3690, 4203, 2871, 2391, 1068, 426, 286]"
Hillerød,"[0, 2, 859, 597, 737, 1221, 1255, 2889]","[239, 557, 1642, 804, 964, 2963, 3299, 3942]","[1112, 1416, 1165, 1198, 1374, 1796, 498, 204]","[2614, 2870, 880, 1932, 2572, 1253, 168, 71]","[1172, 1388, 406, 648, 1014, 388, 81, 42]","[492, 632, 419, 365, 452, 237, 133, 54]"
Skive,"[0, 7, 1132, 797, 880, 1281, 1523, 3166]","[179, 384, 1507, 727, 964, 3179, 4429, 4579]","[861, 1053, 1056, 831, 973, 1258, 328, 100]","[1884, 2030, 632, 1459, 1698, 726, 79, 26]","[1069, 1451, 242, 616, 929, 200, 27, 6]","[307, 459, 130, 148, 245, 70, 21, 5]"
Kalundborg,"[0, 4, 605, 639, 905, 1644, 1761, 3415]","[268, 509, 1205, 834, 1218, 3224, 4276, 4729]","[966, 1280, 1137, 1007, 1341, 1470, 444, 230]","[1848, 2131, 807, 1410, 1777, 818, 157, 63]","[937, 1088, 305, 521, 710, 234, 53, 28]","[495, 595, 258, 288, 308, 163, 62, 35]"
Bornholm,"[0, 9, 596, 535, 680, 1372, 1923, 3473]","[185, 450, 878, 521, 953, 3088, 4177, 4555]","[695, 993, 766, 726, 1031, 1046, 355, 156]","[1269, 1335, 423, 910, 1149, 471, 83, 40]","[780, 863, 178, 480, 553, 149, 53, 20]","[323, 368, 156, 183, 224, 89, 48, 50]"
Mariagerfjord,"[0, 8, 693, 635, 762, 1244, 1344, 2838]","[193, 386, 1101, 692, 913, 2902, 3952, 3872]","[890, 1001, 1085, 872, 978, 1319, 395, 122]","[1756, 2069, 674, 1309, 1706, 741, 97, 17]","[861, 1101, 201, 504, 704, 184, 26, 7]","[309, 447, 195, 163, 233, 67, 32, 8]"
Vejle,"[1, 21, 2340, 1791, 2026, 3092, 3065, 6602]","[555, 1065, 4383, 2341, 2481, 6929, 8384, 9041]","[2560, 2807, 2919, 2859, 2681, 3489, 843, 298]","[6073, 5985, 1823, 4438, 5529, 2048, 213, 70]","[2916, 3375, 727, 1495, 2432, 671, 99, 36]","[1031, 1161, 633, 704, 709, 287, 104, 58]"
Thisted,"[0, 33, 781, 619, 699, 1126, 1425, 3025]","[168, 358, 1261, 635, 804, 3027, 4363, 4175]","[826, 997, 1073, 796, 981, 1245, 339, 112]","[1813, 1928, 652, 1411, 1546, 701, 86, 20]","[1196, 1272, 263, 677, 828, 206, 17, 7]","[406, 499, 164, 225, 257, 105, 52, 16]"
Morsø,"[0, 13, 315, 286, 371, 644, 723, 1652]","[78, 178, 583, 289, 418, 1415, 2043, 2157]","[376, 447, 482, 348, 424, 541, 143, 51]","[746, 763, 315, 551, 616, 306, 29, 9]","[468, 552, 111, 279, 338, 93, 13, 1]","[225, 376, 71, 105, 131, 51, 5, 3]"
Horsens,"[1, 6, 2698, 1434, 1603, 2431, 2450, 4830]","[515, 886, 4080, 1875, 2034, 5141, 6420, 6849]","[2204, 2126, 2503, 2386, 2317, 2388, 662, 213]","[4918, 4512, 1492, 3741, 4309, 1446, 163, 43]","[2228, 2281, 565, 1269, 1649, 420, 61, 12]","[704, 753, 487, 500, 495, 184, 66, 36]"
Solrød,"[0, 0, 203, 158, 300, 411, 454, 1184]","[103, 230, 473, 311, 441, 1383, 1682, 2037]","[601, 680, 599, 672, 720, 832, 187, 100]","[1451, 1489, 394, 1008, 1478, 556, 67, 32]","[561, 626, 138, 301, 465, 126, 28, 16]","[161, 172, 68, 107, 114, 48, 21, 15]"
Albertslund,"[0, 2, 1154, 445, 423, 772, 727, 1512]","[172, 317, 888, 451, 539, 1301, 1426, 2018]","[598, 695, 701, 632, 698, 795, 228, 133]","[1201, 1163, 556, 904, 1080, 512, 96, 23]","[738, 794, 346, 480, 592, 197, 35, 32]","[452, 488, 310, 331, 333, 124, 65, 57]"
