0,1,2,3,4,5,6
Guldborgsund,"[0, 15, 1167, 905, 1137, 2116, 2572, 5095]","[359, 606, 1798, 1012, 1521, 4011, 5687, 6374]","[1205, 1433, 1411, 1270, 1548, 1638, 510, 237]","[2200, 2337, 839, 1650, 2016, 854, 158, 48]","[985, 1202, 320, 585, 764, 295, 70, 45]","[533, 553, 288, 343, 357, 184, 89, 39]"
Brønderslev,"[0, 4, 507, 442, 586, 971, 1005, 2359]","[154, 297, 1010, 564, 782, 2384, 3117, 3421]","[792, 914, 872, 804, 900, 1017, 265, 94]","[1864, 1923, 565, 1402, 1647, 630, 58, 11]","[877, 1073, 184, 519, 675, 165, 20, 8]","[300, 373, 145, 155, 181, 78, 28, 9]"
Middelfart,"[2, 8, 445, 408, 636, 1034, 1107, 2530]","[165, 360, 1022, 544, 937, 2755, 3525, 3802]","[829, 1060, 948, 814, 1034, 1324, 290, 139]","[1754, 2057, 611, 1327, 1834, 717, 102, 23]","[800, 1030, 181, 408, 710, 183, 26, 10]","[261, 386, 117, 163, 207, 55, 19, 17]"
Vordingborg,"[0, 16, 684, 531, 816, 1513, 2042, 3764]","[229, 462, 1092, 701, 1092, 2987, 4325, 4832]","[745, 1177, 1014, 843, 1192, 1350, 494, 243]","[1581, 1884, 649, 1175, 1521, 762, 139, 73]","[703, 915, 284, 435, 562, 237, 59, 31]","[478, 561, 281, 293, 332, 122, 61, 28]"
Odense,"[0, 18, 10576, 4223, 3979, 5811, 6137, 11297]","[1156, 1906, 17944, 4807, 3937, 9715, 12029, 13607]","[4903, 4317, 7358, 5140, 4345, 4909, 1457, 518]","[9160, 8107, 3589, 6778, 7736, 2831, 446, 136]","[4055, 4258, 1451, 2239, 3065, 826, 176, 62]","[1608, 1872, 1993, 1287, 1105, 472, 171, 84]"
Høje-Taastrup,"[0, 1, 750, 739, 866, 1200, 1289, 2668]","[246, 412, 1634, 1052, 1117, 2469, 2888, 3569]","[1155, 1191, 1460, 1363, 1342, 1523, 456, 175]","[2371, 2237, 1056, 1863, 2233, 933, 167, 41]","[1224, 1320, 637, 860, 976, 380, 84, 58]","[933, 893, 760, 825, 676, 294, 106, 92]"
Stevns,"[0, 1, 139, 184, 287, 610, 627, 1471]","[81, 199, 434, 333, 547, 1625, 2148, 2468]","[432, 565, 507, 499, 654, 720, 266, 121]","[946, 1073, 371, 735, 989, 436, 89, 54]","[427, 473, 154, 248, 370, 135, 52, 27]","[259, 258, 159, 187, 199, 103, 59, 17]"
Struer,"[0, 3, 343, 305, 409, 600, 705, 1518]","[90, 154, 530, 304, 428, 1373, 2170, 2343]","[373, 522, 500, 386, 486, 646, 175, 41]","[769, 953, 266, 571, 809, 307, 26, 9]","[516, 637, 107, 279, 416, 99, 6, 1]","[140, 280, 84, 78, 103, 35, 8, 4]"
Ishøj,"[0, 1, 417, 294, 337, 522, 561, 1125]","[115, 231, 721, 425, 523, 1146, 1196, 1425]","[525, 474, 639, 622, 534, 669, 220, 75]","[1008, 915, 637, 899, 850, 430, 74, 34]","[714, 679, 349, 550, 507, 164, 45, 23]","[484, 390, 388, 415, 301, 134, 72, 34]"
Hjørring,"[0, 10, 1264, 896, 1127, 1932, 2147, 4505]","[318, 581, 2186, 1008, 1408, 4596, 6001, 6232]","[1225, 1589, 1488, 1237, 1506, 1887, 524, 189]","[2751, 2803, 966, 2062, 2398, 895, 116, 39]","[1430, 1805, 328, 778, 1178, 277, 39, 14]","[595, 758, 246, 327, 379, 103, 46, 15]"
Lejre,"[0, 6, 106, 149, 256, 481, 595, 1497]","[77, 242, 337, 313, 546, 1742, 2284, 2676]","[497, 738, 565, 599, 816, 1005, 323, 182]","[1487, 1630, 535, 1050, 1576, 723, 138, 65]","[624, 741, 175, 346, 591, 192, 53, 31]","[388, 378, 221, 294, 287, 203, 101, 61]"
Faaborg-Midtfyn,"[0, 1, 525, 535, 856, 1394, 1551, 3628]","[204, 453, 1227, 757, 1169, 3552, 4625, 5353]","[1076, 1296, 1225, 1114, 1288, 1601, 457, 195]","[2389, 2521, 740, 1844, 2203, 884, 120, 52]","[1028, 1268, 286, 585, 827, 242, 48, 30]","[444, 643, 325, 268, 342, 142, 33, 19]"
Faxe,"[0, 5, 408, 369, 561, 1002, 1077, 2237]","[167, 339, 850, 616, 942, 2498, 3227, 3333]","[763, 991, 934, 862, 1079, 1268, 321, 164]","[1405, 1735, 637, 1083, 1566, 646, 106, 51]","[726, 889, 291, 490, 569, 232, 50, 24]","[359, 412, 284, 281, 282, 172, 84, 30]"
Nyborg,"[0, 3, 460, 405, 599, 955, 1124, 2312]","[147, 335, 842, 510, 774, 2102, 2811, 3237]","[642, 882, 727, 622, 855, 1019, 274, 113]","[1378, 1471, 475, 1076, 1270, 543, 76, 29]","[653, 783, 155, 365, 540, 146, 29, 14]","[243, 367, 107, 125, 135, 56, 28, 10]"
Sorø,"[0, 7, 310, 307, 508, 886, 939, 1894]","[165, 319, 753, 476, 762, 2027, 2476, 2479]","[622, 812, 714, 670, 820, 998, 285, 137]","[1360, 1506, 436, 1010, 1365, 568, 116, 28]","[604, 820, 177, 380, 492, 179, 32, 25]","[274, 337, 154, 189, 218, 86, 40, 28]"
Rudersdal,"[0, 40, 1076, 449, 600, 1209, 1459, 4339]","[207, 545, 1186, 654, 851, 2854, 4056, 5302]","[1107, 1608, 1024, 1173, 1245, 2175, 543, 240]","[3162, 3271, 642, 1835, 3179, 1583, 183, 84]","[1438, 1773, 358, 577, 1375, 476, 62, 29]","[505, 683, 340, 257, 465, 201, 78, 65]"
Aalborg,"[2, 43, 13179, 4770, 3986, 5823, 5972, 12111]","[1158, 1978, 19902, 5320, 4323, 11396, 14136, 15568]","[4993, 4679, 6757, 5217, 4750, 5171, 1257, 499]","[9915, 8502, 2982, 7393, 8135, 2753, 366, 95]","[4210, 4549, 1047, 2316, 3228, 774, 133, 34]","[1266, 1484, 1185, 894, 881, 360, 130, 58]"
Varde,"[1, 3, 699, 639, 796, 1260, 1317, 3144]","[179, 392, 1334, 725, 979, 3334, 4743, 4781]","[943, 1152, 1250, 1016, 1070, 1549, 370, 133]","[2270, 2331, 840, 1724, 1951, 866, 107, 28]","[1412, 1632, 393, 787, 1102, 275, 33, 12]","[517, 584, 244, 296, 350, 131, 56, 20]"
Kolding,"[0, 7, 2565, 1527, 1719, 2445, 2495, 5138]","[476, 857, 4149, 1879, 1970, 5569, 6920, 7398]","[2054, 2370, 2333, 2130, 2253, 2638, 626, 251]","[4733, 4812, 1420, 3471, 4528, 1537, 196, 48]","[2205, 2533, 521, 1150, 1801, 458, 62, 26]","[803, 894, 394, 488, 483, 196, 84, 36]"
Allerød,"[0, 1, 197, 166, 204, 483, 465, 1386]","[87, 204, 311, 258, 409, 1488, 1905, 2496]","[483, 739, 522, 596, 631, 1093, 222, 99]","[1604, 1674, 310, 1075, 1627, 728, 73, 22]","[683, 870, 170, 331, 643, 208, 37, 25]","[202, 283, 100, 116, 197, 95, 44, 18]"
Hedensted,"[0, 4, 444, 463, 653, 1042, 1105, 2546]","[167, 366, 1042, 721, 1039, 3191, 4006, 4118]","[924, 1246, 1167, 1007, 1370, 1542, 393, 137]","[2251, 2663, 846, 1747, 2331, 916, 96, 29]","[1163, 1398, 267, 723, 942, 226, 47, 18]","[454, 676, 269, 299, 362, 119, 39, 17]"
Christiansø,"[0, 0, 0, 3, 1, 1, 4, 5]","[0, 1, 2, 0, 0, 11, 11, 7]","[1, 1, 0, 0, 3, 1, 0, 0]","[1, 5, 0, 1, 3, 2, 0, 0]","[3, 9, 0, 2, 6, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
Favrskov,"[0, 11, 426, 446, 710, 984, 1121, 2380]","[160, 404, 1048, 697, 996, 2984, 3638, 4000]","[952, 1234, 1122, 1099, 1317, 1540, 343, 123]","[2929, 2986, 758, 2141, 2919, 941, 90, 33]","[1384, 1739, 296, 719, 1251, 274, 32, 18]","[476, 561, 229, 266, 328, 120, 45, 11]"
Sønderborg,"[0, 21, 1805, 1189, 1279, 2250, 2253, 5382]","[354, 714, 2180, 1171, 1559, 5063, 6335, 7994]","[1379, 1834, 1641, 1391, 1792, 2210, 551, 191]","[3186, 3473, 1048, 2320, 3007, 1240, 138, 37]","[1553, 1865, 355, 871, 1203, 318, 46, 26]","[628, 709, 289, 327, 380, 141, 56, 16]"
