sogn_idx,sogn,kommune,kommune_idx,landsdel,landsdel_idx,region,region_idx,land,land_idx
1156,8842,Lemvig,55,Sydjylland,8,Syddanmark,3,Danmark,1
1157,8927,Vejen,93,Nordjylland,11,Nordjylland,5,Danmark,1
1158,7825,Middelfart,60,Østjylland,10,Midtjylland,4,Danmark,1
1159,7933,Kolding,50,Nordjylland,11,Nordjylland,5,Danmark,1
1160,8943,Billund,8,Nordjylland,11,Nordjylland,5,Danmark,1
1161,7497,Stevns,83,Københavns omegn,2,Hovedstaden,1,Danmark,1
1162,9067,Kolding,50,Nordjylland,11,Nordjylland,5,Danmark,1
1163,8726,Thisted,88,Fyn,7,Syddanmark,3,Danmark,1
1164,9166,Skanderborg,78,Vestjylland,9,Midtjylland,4,Danmark,1
1165,8662,Thisted,88,Fyn,7,Syddanmark,3,Danmark,1
1166,7446,Fredensborg,19,Østsjælland,5,Sjælland,2,Danmark,1
1167,7132,Gladsaxe,26,Bornholm,4,Hovedstaden,1,Danmark,1
1168,8104,Aarhus,3,Vestjylland,9,Midtjylland,4,Danmark,1
