sogn_idx,sogn,kommune,kommune_idx,landsdel,landsdel_idx,region,region_idx,land,land_idx
877,7470,Vordingborg,97,Københavns omegn,2,Hovedstaden,1,Danmark,1
878,8292,Rebild,70,Fyn,7,Syddanmark,3,Danmark,1
879,8085,Skanderborg,78,Vestjylland,9,Midtjylland,4,Danmark,1
880,7863,Nordfyns,63,Østjylland,10,Midtjylland,4,Danmark,1
881,7854,Nordfyns,63,Østjylland,10,Midtjylland,4,Danmark,1
882,8685,Thisted,88,Fyn,7,Syddanmark,3,Danmark,1
883,8389,Aalborg,2,Fyn,7,Syddanmark,3,Danmark,1
884,7130,Gladsaxe,26,Bornholm,4,Hovedstaden,1,Danmark,1
885,7502,Næstved,65,Københavns omegn,2,Hovedstaden,1,Danmark,1
886,7795,Assens,6,Østjylland,10,Midtjylland,4,Danmark,1
887,8139,Favrskov,17,Vestjylland,9,Midtjylland,4,Danmark,1
888,8881,Varde,92,Nordjylland,11,Nordjylland,5,Danmark,1
889,9012,Aabenraa,1,Nordjylland,11,Nordjylland,5,Danmark,1
890,7850,Nordfyns,63,Østjylland,10,Midtjylland,4,Danmark,1
891,8153,Randers,69,Vestjylland,9,Midtjylland,4,Danmark,1
892,7794,Assens,6,Østjylland,10,Midtjylland,4,Danmark,1
893,7910,Fredericia,20,Nordjylland,11,Nordjylland,5,Danmark,1
894,7358,Slagelse,80,Københavns omegn,2,Hovedstaden,1,Danmark,1
895,7963,Hedensted,33,Vestjylland,9,Midtjylland,4,Danmark,1
896,8486,Favrskov,17,Vestjylland,9,Midtjylland,4,Danmark,1
897,8108,Aarhus,3,Vestjylland,9,Midtjylland,4,Danmark,1
898,8913,Esbjerg,14,Nordjylland,11,Nordjylland,5,Danmark,1
899,9210,Herning,36,Sydjylland,8,Syddanmark,3,Danmark,1
900,9286,Vejle,94,Nordjylland,11,Nordjylland,5,Danmark,1
901,8040,Skanderborg,78,Vestjylland,9,Midtjylland,4,Danmark,1
902,8362,Aalborg,2,Fyn,7,Syddanmark,3,Danmark,1
903,8219,Syddjurs,86,Vestjylland,9,Midtjylland,4,Danmark,1
904,7448,Rudersdal,74,Østsjælland,5,Sjælland,2,Danmark,1
905,7520,Næstved,65,Københavns omegn,2,Hovedstaden,1,Danmark,1
906,8338,Rebild,70,Fyn,7,Syddanmark,3,Danmark,1
907,8683,Thisted,88,Fyn,7,Syddanmark,3,Danmark,1
908,8681,Morsø,61,Fyn,7,Syddanmark,3,Danmark,1
909,8472,Hjørring,38,Fyn,7,Syddanmark,3,Danmark,1
910,7284,Holbæk,39,Københavns omegn,2,Hovedstaden,1,Danmark,1
911,9203,Holstebro,40,Sydjylland,8,Syddanmark,3,Danmark,1
912,8214,Randers,69,Vestjylland,9,Midtjylland,4,Danmark,1
913,7456,Frederikssund,23,Østsjælland,5,Sjælland,2,Danmark,1
914,7538,Køge,52,Byen København,1,Hovedstaden,1,Danmark,1
915,7771,Nyborg,64,Østjylland,10,Midtjylland,4,Danmark,1
916,8344,Aalborg,2,Fyn,7,Syddanmark,3,Danmark,1
917,8664,Thisted,88,Fyn,7,Syddanmark,3,Danmark,1
918,8820,Struer,84,Sydjylland,8,Syddanmark,3,Danmark,1
919,9044,Tønder,90,Nordjylland,11,Nordjylland,5,Danmark,1
920,8463,Hjørring,38,Fyn,7,Syddanmark,3,Danmark,1
921,7460,Frederikssund,23,Østsjælland,5,Sjælland,2,Danmark,1
922,8333,Aalborg,2,Fyn,7,Syddanmark,3,Danmark,1
923,9059,Tønder,90,Nordjylland,11,Nordjylland,5,Danmark,1
