"Voksne 1. januar efter tid, alder, område og antal personer i husstand "

" "," "," ","1 person","2 personer","3 personer","4 personer","5 personer","6 personer og derover"
"2020"
" ","Under 20 år"
" "," ","Langeland",659,1483,132,22,11,10
" "," ","Middelfart",1107,3525,290,102,26,19
" "," ","Nordfyns",846,2790,241,62,37,29
" "," ","Nyborg",1124,2811,274,76,29,28
" "," ","Odense",6137,12029,1457,446,176,171
" "," ","Svendborg",2180,5262,549,148,64,89
" "," ","Ærø",316,703,69,14,2,4
" "," ","Billund",690,2281,172,57,15,16
" "," ","Esbjerg",3752,9581,755,198,76,79
" "," ","Fanø",163,433,44,7,6,5
" "," ","Fredericia",1591,3868,337,77,34,44
" "," ","Haderslev",1869,4874,428,118,41,51
" "," ","Kolding",2495,6920,626,196,62,84
" "," ","Sønderborg",2253,6335,551,138,46,56
" "," ","Tønder",1325,3829,335,82,26,36
" "," ","Varde",1317,4743,370,107,33,56
" "," ","Vejen",1057,3576,347,76,39,44
" "," ","Vejle",3065,8384,843,213,99,104
" "," ","Aabenraa",1909,5470,470,125,29,45
" "," ","Favrskov",1121,3638,343,90,32,45
" "," ","Hedensted",1105,4006,393,96,47,39
" "," ","Horsens",2450,6420,662,163,61,66
" "," ","Norddjurs",1415,3534,359,96,27,38
" "," ","Odder",654,2048,189,79,27,31
" "," ","Randers",3192,7158,568,172,68,67
" "," ","Samsø",242,433,35,14,0,4
" "," ","Silkeborg",2646,7390,741,225,86,90
" "," ","Skanderborg",1427,4701,509,150,47,74
" "," ","Syddjurs",1404,4004,463,148,70,67
" "," ","Aarhus",9714,18508,2438,857,336,426
" "," ","Herning",2365,6951,583,146,55,73
" "," ","Holstebro",1614,4916,412,99,54,41
" "," ","Ikast-Brande",1059,3429,288,82,26,33
" "," ","Lemvig",671,2076,172,38,13,13
" "," ","Ringkøbing-Skjern",1606,5225,419,113,37,38
" "," ","Skive",1523,4429,328,79,27,21
" "," ","Struer",705,2170,175,26,6,8
" "," ","Viborg",2857,7914,721,201,64,77
" "," ","Brønderslev",1005,3117,265,58,20,28
" "," ","Frederikshavn",2100,6016,420,86,32,21
" "," ","Hjørring",2147,6001,524,116,39,46
" "," ","Jammerbugt",1200,3671,294,81,29,20
" "," ","Læsø",120,219,12,3,0,0
" "," ","Mariagerfjord",1344,3952,395,97,26,32
" "," ","Morsø",723,2043,143,29,13,5
" "," ","Rebild",678,2584,210,52,21,28
" "," ","Thisted",1425,4363,339,86,17,52
" "," ","Vesthimmerlands",1178,3344,281,92,32,24
" "," ","Aalborg",5972,14136,1257,366,133,130
" ","70-79 år"
" "," ","København",16152,13348,1201,449,206,266
" "," ","Frederiksberg",4254,4325,263,84,29,46
" "," ","Dragør",473,1164,52,24,9,14
" "," ","Tårnby",1355,2284,147,33,23,29
" "," ","Albertslund",936,1571,114,16,28,44
" "," ","Ballerup",1744,2972,118,29,18,35
" "," ","Brøndby",1142,1767,119,35,14,62
" "," ","Gentofte",2848,4216,308,69,55,74
" "," ","Gladsaxe",2111,2912,154,46,33,26
" "," ","Glostrup",780,1132,43,22,7,17
" "," ","Herlev",886,1425,80,11,9,16
" "," ","Hvidovre",1624,2399,150,56,30,53
" "," ","Høje-Taastrup",1568,2817,141,33,46,76
" "," ","Ishøj",742,1175,65,27,19,27
" "," ","Lyngby-Taarbæk",1978,2815,133,34,28,27
" "," ","Rødovre",1331,1787,89,21,12,28
" "," ","Vallensbæk",469,1158,58,13,8,13
" "," ","Allerød",701,1889,79,21,24,12
" "," ","Egedal",1167,3030,175,48,42,58
" "," ","Fredensborg",1524,3107,176,42,15,40
" "," ","Frederikssund",1737,3433,244,80,53,51
" "," ","Furesø",1291,2794,113,26,21,27
" "," ","Gribskov",1667,3663,312,123,71,90
" "," ","Halsnæs",1370,2521,213,66,38,41
" "," ","Helsingør",2759,4584,258,67,49,57
" "," ","Hillerød",1547,2998,153,58,33,49
" "," ","Hørsholm",1128,2187,76,27,14,15
" "," ","Rudersdal",2016,3800,177,53,21,53
" "," ","Bornholm",1875,3518,125,28,18,26
" "," ","Christiansø",4,5,0,0,0,0
" "," ","Greve",1734,3829,186,44,28,48
" "," ","Køge",1968,4207,220,69,33,81
" "," ","Lejre",833,2152,152,55,25,46
" "," ","Roskilde",2845,5360,278,78,44,72
" "," ","Solrød",679,1646,88,26,14,11
" "," ","Faxe",1224,2633,139,40,18,21
" "," ","Guldborgsund",2766,4911,193,39,37,36
" "," ","Holbæk",2248,4844,216,80,37,54
" "," ","Kalundborg",1945,3655,179,56,20,30
" "," ","Lolland",2233,3599,115,29,6,16
" "," ","Næstved",2960,5496,254,53,38,69
" "," ","Odsherred",1745,3240,172,56,24,20
" "," ","Ringsted",978,1949,106,47,14,23
" "," ","Slagelse",2939,5322,220,48,17,24
" "," ","Sorø",1056,1897,110,25,21,27
" "," ","Stevns",802,1968,93,46,21,14
" "," ","Vordingborg",2146,3792,195,58,26,20
" "," ","Assens",1390,3117,112,29,22,12
" "," ","Faaborg-Midtfyn",1794,4103,155,40,26,13
" "," ","Kerteminde",941,1944,44,15,4,11
" "," ","Langeland",708,1280,61,7,5,5
" "," ","Middelfart",1327,3002,115,15,10,14
" "," ","Nordfyns",983,2305,75,22,13,17
" "," ","Nyborg",1211,2485,90,25,11,9
" "," ","Odense",5971,10291,405,102,48,59
" "," ","Svendborg",2211,4156,177,38,16,30
" "," ","Ærø",380,626,25,6,2,0
" "," ","Billund",815,1804,42,8,1,10
" "," ","Esbjerg",3814,7526,233,40,21,35
" "," ","Fanø",212,388,9,3,1,2
" "," ","Fredericia",1693,3582,113,24,14,14
" "," ","Haderslev",1814,4031,134,24,10,19
" "," ","Kolding",2720,5654,203,39,23,26
" "," ","Sønderborg",2672,5950,149,28,15,11
" "," ","Tønder",1263,2986,77,11,7,5
" "," ","Varde",1425,3644,109,22,11,18
" "," ","Vejen",1172,2903,88,21,12,8
" "," ","Vejle",3419,7054,252,49,31,46
" "," ","Aabenraa",2057,4459,134,37,15,15
" "," ","Favrskov",1293,3143,111,23,15,8
" "," ","Hedensted",1234,3151,117,22,13,11
" "," ","Horsens",2555,5310,174,31,11,27
" "," ","Norddjurs",1456,2787,98,23,10,13
" "," ","Odder",704,1725,64,18,18,21
" "," ","Randers",3418,6265,176,51,17,25
" "," ","Samsø",242,367,8,4,0,1
" "," ","Silkeborg",2738,5995,206,56,28,31
" "," ","Skanderborg",1581,3906,136,32,24,20
" "," ","Syddjurs",1630,3611,162,32,16,27
" "," ","Aarhus",8737,14357,611,181,94,201
" "," ","Herning",2525,5648,160,30,15,17
" "," ","Holstebro",1696,3828,128,14,13,14
" "," ","Ikast-Brande",1196,2799,90,22,9,17
" "," ","Lemvig",778,1705,42,1,4,3
" "," ","Ringkøbing-Skjern",1811,4077,97,22,7,12
" "," ","Skive",1602,3477,81,20,5,4
" "," ","Struer",791,1831,37,6,1,4
" "," ","Viborg",2857,6212,214,36,22,22
" "," ","Brønderslev",1138,2571,74,10,7,8
" "," ","Frederikshavn",2538,5163,131,19,17,5
" "," ","Hjørring",2254,4772,149,25,9,13
" "," ","Jammerbugt",1346,3148,123,18,11,8
" "," ","Læsø",139,206,10,0,0,0
" "," ","Mariagerfjord",1481,3003,96,15,5,8
" "," ","Morsø",838,1641,46,8,1,3
" "," ","Rebild",801,1920,76,11,6,7
" "," ","Thisted",1531,3302,97,17,4,14
" "," ","Vesthimmerlands",1278,2787,112,28,1,4
" "," ","Aalborg",6447,12078,408,76,23,47
" ","80-89 år"
" "," ","København",7217,2959,237,85,45,62
" "," ","Frederiksberg",2348,1189,51,16,7,6
" "," ","Dragør",393,327,20,3,2,1
" "," ","Tårnby",916,646,22,8,5,5
" "," ","Albertslund",478,422,18,7,4,13
" "," ","Ballerup",1398,1142,30,5,6,7
" "," ","Brøndby",898,580,32,11,9,12
" "," ","Gentofte",1734,1221,59,13,15,12
" "," ","Gladsaxe",1531,867,39,7,6,4
" "," ","Glostrup",617,389,12,4,0,3
" "," ","Herlev",684,501,23,2,3,3
" "," ","Hvidovre",1159,752,25,7,10,6
" "," ","Høje-Taastrup",886,708,31,8,12,13
" "," ","Ishøj",321,232,8,7,4,6
" "," ","Lyngby-Taarbæk",1428,841,31,13,3,3
" "," ","Rødovre",1044,619,18,7,5,33
" "," ","Vallensbæk",280,276,7,3,4,4
" "," ","Allerød",552,555,18,1,1,4
" "," ","Egedal",702,719,50,18,9,12
" "," ","Fredensborg",835,753,54,12,10,7
" "," ","Frederikssund",1075,862,55,16,4,12
" "," ","Furesø",1041,987,48,10,5,8
" "," ","Gribskov",944,856,59,33,12,22
" "," ","Halsnæs",763,612,60,11,14,6
" "," ","Helsingør",1632,1263,59,24,17,12
" "," ","Hillerød",1065,876,49,12,8,5
" "," ","Hørsholm",868,734,28,5,2,4
" "," ","Rudersdal",1693,1383,49,28,7,11
" "," ","Bornholm",1264,961,26,9,1,17
" "," ","Christiansø",1,2,0,0,0,0
" "," ","Greve",964,956,30,7,9,16
" "," ","Køge",1158,980,51,19,8,41
" "," ","Lejre",511,490,27,8,5,13
" "," ","Roskilde",1876,1530,78,18,10,8
" "," ","Solrød",410,377,11,6,2,4
" "," ","Faxe",780,649,24,10,6,9
" "," ","Guldborgsund",1799,1352,37,9,8,2
" "," ","Holbæk",1495,1163,37,24,10,13
" "," ","Kalundborg",1152,998,46,7,7,5
" "," ","Lolland",1347,978,40,3,5,3
" "," ","Næstved",1895,1383,64,19,8,8
" "," ","Odsherred",982,787,30,16,4,1
" "," ","Ringsted",672,533,14,1,1,11
" "," ","Slagelse",1914,1333,68,14,2,5
" "," ","Sorø",627,531,26,3,4,1
" "," ","Stevns",532,464,24,8,6,3
" "," ","Vordingborg",1268,960,45,14,5,7
" "," ","Assens",996,845,25,7,3,4
" "," ","Faaborg-Midtfyn",1382,1151,34,10,3,5
" "," ","Kerteminde",646,613,16,1,3,1
" "," ","Langeland",492,360,13,1,2,0
" "," ","Middelfart",928,757,19,8,0,3
" "," ","Nordfyns",700,597,14,1,4,0
" "," ","Nyborg",817,683,19,4,3,1
" "," ","Odense",4094,3093,97,29,12,22
" "," ","Svendborg",1459,1258,28,10,2,6
" "," ","Ærø",266,189,8,1,0,0
" "," ","Billund",646,535,7,5,0,1
" "," ","Esbjerg",2628,2005,56,8,3,6
" "," ","Fanø",118,75,0,0,0,0
" "," ","Fredericia",1165,952,10,6,4,4
" "," ","Haderslev",1485,1220,29,1,0,2
" "," ","Kolding",1865,1624,45,9,2,10
" "," ","Sønderborg",2148,1915,39,8,10,4
" "," ","Tønder",1016,836,20,6,3,7
" "," ","Varde",1322,1060,19,6,1,2
" "," ","Vejen",1084,865,24,4,4,3
" "," ","Vejle",2462,1865,44,17,3,8
" "," ","Aabenraa",1423,1260,30,2,4,9
" "," ","Favrskov",853,800,11,9,3,2
" "," ","Hedensted",967,909,14,7,4,6
" "," ","Horsens",1712,1449,36,11,1,7
" "," ","Norddjurs",1023,788,25,2,0,4
" "," ","Odder",570,487,18,4,1,2
" "," ","Randers",2198,1700,42,12,5,8
" "," ","Samsø",143,101,3,0,0,1
" "," ","Silkeborg",1975,1487,55,12,9,6
" "," ","Skanderborg",1016,954,37,5,0,4
" "," ","Syddjurs",1033,908,40,11,4,4
" "," ","Aarhus",5490,3944,152,47,28,63
" "," ","Herning",1975,1553,29,7,3,5
" "," ","Holstebro",1327,1079,31,4,2,6
" "," ","Ikast-Brande",851,726,22,2,0,3
" "," ","Lemvig",582,463,9,1,0,0
" "," ","Ringkøbing-Skjern",1428,1194,23,5,2,3
" "," ","Skive",1175,1031,15,6,1,1
" "," ","Struer",565,469,4,3,0,0
" "," ","Viborg",2089,1819,40,3,5,6
" "," ","Brønderslev",944,779,17,1,1,1
" "," ","Frederikshavn",1788,1418,22,8,1,1
" "," ","Hjørring",1733,1338,34,11,5,2
" "," ","Jammerbugt",926,723,22,3,5,2
" "," ","Læsø",79,65,1,0,0,1
" "," ","Mariagerfjord",1055,816,24,2,1,0
" "," ","Morsø",609,472,5,1,0,0
" "," ","Rebild",639,501,21,3,1,0
" "," ","Thisted",1163,804,13,2,2,2
" "," ","Vesthimmerlands",1016,751,28,7,0,0
" "," ","Aalborg",4392,3248,79,16,11,9
" ","90-99 år"
" "," ","København",2107,279,18,9,12,3
" "," ","Frederiksberg",742,119,6,0,1,1
" "," ","Dragør",111,21,1,0,0,1
" "," ","Tårnby",323,34,3,0,0,0
" "," ","Albertslund",97,25,1,0,0,0
" "," ","Ballerup",240,56,4,1,0,1
" "," ","Brøndby",239,44,3,1,1,0
" "," ","Gentofte",663,122,17,2,3,3
" "," ","Gladsaxe",547,102,1,1,0,0
" "," ","Glostrup",182,27,0,0,1,0
" "," ","Herlev",251,35,1,0,0,1
" "," ","Hvidovre",359,57,2,1,0,2
" "," ","Høje-Taastrup",209,44,3,0,0,3
" "," ","Ishøj",59,18,2,0,0,1
" "," ","Lyngby-Taarbæk",680,117,4,1,0,0
" "," ","Rødovre",305,72,1,2,0,9
" "," ","Vallensbæk",56,19,2,0,0,1
" "," ","Allerød",130,52,2,0,0,2
" "," ","Egedal",112,21,2,3,0,2
" "," ","Fredensborg",241,47,5,1,1,0
" "," ","Frederikssund",232,51,7,1,2,1
" "," ","Furesø",277,55,7,0,0,0
" "," ","Gribskov",231,69,10,3,2,2
" "," ","Halsnæs",172,34,8,0,0,0
" "," ","Helsingør",433,101,7,4,1,1
" "," ","Hillerød",268,68,2,1,1,0
" "," ","Hørsholm",286,62,5,1,0,0
" "," ","Rudersdal",607,117,14,3,1,0
" "," ","Bornholm",324,75,5,3,1,7
" "," ","Christiansø",0,0,0,0,0,0
" "," ","Greve",160,49,5,0,2,0
" "," ","Køge",292,71,2,3,0,15
" "," ","Lejre",148,34,3,2,1,2
" "," ","Roskilde",498,85,4,2,1,1
" "," ","Solrød",93,14,1,0,0,0
" "," ","Faxe",227,51,1,1,0,0
" "," ","Guldborgsund",520,109,7,0,0,1
" "," ","Holbæk",424,84,7,6,1,4
" "," ","Kalundborg",306,75,5,0,1,0
" "," ","Lolland",381,68,3,1,1,0
" "," ","Næstved",489,95,2,1,2,1
" "," ","Odsherred",250,51,5,3,1,0
" "," ","Ringsted",187,28,1,2,0,0
" "," ","Slagelse",514,89,4,1,0,1
" "," ","Sorø",206,51,1,0,0,0
" "," ","Stevns",129,35,4,0,0,0
" "," ","Vordingborg",338,78,3,1,0,1
" "," ","Assens",306,68,2,3,0,0
" "," ","Faaborg-Midtfyn",445,98,6,2,1,1
" "," ","Kerteminde",199,30,4,0,0,0
" "," ","Langeland",174,30,1,0,0,1
" "," ","Middelfart",266,43,5,0,0,0
" "," ","Nordfyns",187,40,2,0,1,0
" "," ","Nyborg",281,68,4,0,0,0
" "," ","Odense",1199,222,16,5,2,3
" "," ","Svendborg",452,94,6,2,1,1
" "," ","Ærø",90,16,0,0,0,0
" "," ","Billund",180,48,0,0,1,0
" "," ","Esbjerg",682,113,7,2,0,1
" "," ","Fanø",35,5,0,0,0,0
" "," ","Fredericia",321,72,2,1,0,1
" "," ","Haderslev",389,86,3,0,3,2
" "," ","Kolding",542,119,3,0,1,0
" "," ","Sønderborg",553,129,3,1,1,1
" "," ","Tønder",343,64,3,2,1,1
" "," ","Varde",381,76,5,0,0,0
" "," ","Vejen",330,61,4,0,2,0
" "," ","Vejle",699,121,2,4,2,4
" "," ","Aabenraa",405,73,3,0,0,2
" "," ","Favrskov",226,56,1,1,0,1
" "," ","Hedensted",335,58,6,0,1,0
" "," ","Horsens",546,90,3,1,0,2
" "," ","Norddjurs",289,65,2,1,0,0
" "," ","Odder",161,26,0,0,0,0
" "," ","Randers",673,115,4,1,2,1
" "," ","Samsø",54,10,0,0,0,0
" "," ","Silkeborg",484,115,7,0,1,1
" "," ","Skanderborg",255,67,0,2,1,0
" "," ","Syddjurs",251,63,2,0,0,0
" "," ","Aarhus",1673,323,17,9,5,22
" "," ","Herning",525,101,3,1,0,0
" "," ","Holstebro",383,95,4,1,0,0
" "," ","Ikast-Brande",263,56,2,1,0,0
" "," ","Lemvig",145,38,1,1,0,0
" "," ","Ringkøbing-Skjern",458,87,2,0,0,3
" "," ","Skive",382,71,4,0,0,0
" "," ","Struer",156,42,0,0,0,0
" "," ","Viborg",643,122,4,0,0,0
" "," ","Brønderslev",274,71,3,0,0,0
" "," ","Frederikshavn",513,91,0,2,1,0
" "," ","Hjørring",500,119,6,3,0,0
" "," ","Jammerbugt",257,45,5,0,0,0
" "," ","Læsø",20,5,0,0,0,0
" "," ","Mariagerfjord",295,53,2,0,1,0
" "," ","Morsø",201,44,0,0,0,0
" "," ","Rebild",178,33,3,1,0,0
" "," ","Thisted",326,68,2,1,1,0
" "," ","Vesthimmerlands",292,66,5,0,1,0
" "," ","Aalborg",1231,242,12,3,0,2
" ","100 år og derover"
" "," ","København",82,1,0,1,0,1
" "," ","Frederiksberg",37,2,0,0,0,0
" "," ","Dragør",3,0,0,0,0,0
" "," ","Tårnby",8,0,0,0,0,0
" "," ","Albertslund",1,0,0,0,0,0
" "," ","Ballerup",4,1,0,0,0,0
" "," ","Brøndby",6,1,0,0,0,0
" "," ","Gentofte",39,2,0,0,0,0
" "," ","Gladsaxe",17,0,0,0,0,0
" "," ","Glostrup",6,0,0,0,0,0
" "," ","Herlev",7,0,0,0,0,0
" "," ","Hvidovre",8,1,0,0,0,0
" "," ","Høje-Taastrup",5,0,0,0,0,0
" "," ","Ishøj",3,0,0,0,0,0
" "," ","Lyngby-Taarbæk",27,1,0,0,0,0
" "," ","Rødovre",6,0,0,0,0,1
" "," ","Vallensbæk",0,0,0,0,0,0
" "," ","Allerød",3,0,0,0,0,0
" "," ","Egedal",4,0,0,0,1,0
" "," ","Fredensborg",7,0,0,1,0,0
" "," ","Frederikssund",9,0,1,0,0,0
" "," ","Furesø",6,0,0,0,0,0
" "," ","Gribskov",11,0,1,0,0,0
" "," ","Halsnæs",4,0,0,0,0,0
" "," ","Helsingør",16,0,0,0,0,0
" "," ","Hillerød",9,0,0,0,0,0
" "," ","Hørsholm",4,2,0,0,0,0
" "," ","Rudersdal",23,2,0,0,0,1
" "," ","Bornholm",10,1,0,0,0,0
" "," ","Christiansø",0,0,0,0,0,0
" "," ","Greve",4,0,0,0,0,0
" "," ","Køge",16,0,0,0,0,1
" "," ","Lejre",5,0,0,0,0,0
" "," ","Roskilde",16,2,0,1,0,0
" "," ","Solrød",2,0,0,0,0,0
" "," ","Faxe",6,0,0,0,0,0
" "," ","Guldborgsund",10,2,0,0,0,0
" "," ","Holbæk",13,0,0,0,0,0
" "," ","Kalundborg",12,1,0,0,0,0
" "," ","Lolland",9,3,0,0,0,0
" "," ","Næstved",21,0,1,1,0,0
" "," ","Odsherred",6,0,0,0,0,0
" "," ","Ringsted",5,0,0,0,0,0
" "," ","Slagelse",17,1,0,0,0,0
" "," ","Sorø",5,0,0,0,0,0
" "," ","Stevns",8,1,0,0,0,0
" "," ","Vordingborg",12,2,0,0,0,0
" "," ","Assens",9,1,0,0,0,0
" "," ","Faaborg-Midtfyn",7,1,0,0,0,0
" "," ","Kerteminde",4,0,0,0,0,0
" "," ","Langeland",3,0,1,0,0,0
" "," ","Middelfart",9,0,0,0,0,0
" "," ","Nordfyns",2,0,0,0,0,0
" "," ","Nyborg",3,1,0,0,0,0
" "," ","Odense",33,1,0,0,0,0
" "," ","Svendborg",17,1,0,0,0,0
" "," ","Ærø",1,1,0,0,0,0
" "," ","Billund",6,2,0,0,0,0
" "," ","Esbjerg",16,0,0,0,0,0
" "," ","Fanø",1,0,0,0,0,0
" "," ","Fredericia",5,0,0,0,0,0
" "," ","Haderslev",6,0,0,0,0,0
" "," ","Kolding",11,1,0,0,0,0
" "," ","Sønderborg",9,0,0,0,0,0
" "," ","Tønder",4,0,0,0,0,0
" "," ","Varde",16,1,0,0,0,0
" "," ","Vejen",6,1,0,0,0,0
" "," ","Vejle",22,1,0,0,0,0
" "," ","Aabenraa",6,0,0,0,0,0
" "," ","Favrskov",8,1,0,0,0,0
" "," ","Hedensted",10,0,0,0,0,0
" "," ","Horsens",17,0,0,0,0,0
" "," ","Norddjurs",6,0,0,0,0,0
" "," ","Odder",5,0,0,0,0,0
" "," ","Randers",19,1,0,0,0,0
" "," ","Samsø",1,0,0,0,0,0
" "," ","Silkeborg",16,1,0,0,0,0
" "," ","Skanderborg",5,0,0,0,0,0
" "," ","Syddjurs",5,0,0,0,0,0
" "," ","Aarhus",49,2,0,0,1,0
" "," ","Herning",18,1,0,0,0,0
" "," ","Holstebro",5,1,0,0,0,0
" "," ","Ikast-Brande",6,0,0,0,0,0
" "," ","Lemvig",7,0,0,0,0,0
" "," ","Ringkøbing-Skjern",13,1,0,0,0,0
" "," ","Skive",7,0,0,0,0,0
" "," ","Struer",6,1,0,0,0,0
" "," ","Viborg",22,0,0,0,0,0
" "," ","Brønderslev",3,0,0,0,0,0
" "," ","Frederikshavn",18,0,0,0,0,0
" "," ","Hjørring",18,3,0,0,0,0
" "," ","Jammerbugt",5,0,0,0,0,0
" "," ","Læsø",0,0,0,0,0,0
" "," ","Mariagerfjord",7,0,0,0,0,0
" "," ","Morsø",4,0,0,0,0,0
" "," ","Rebild",3,0,0,0,0,0
" "," ","Thisted",5,1,0,0,0,0
" "," ","Vesthimmerlands",12,0,0,0,0,0
" "," ","Aalborg",41,0,0,0,0,0

