"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.00629408270054297,0.0211741036033862,0.016161222553549,0.0129445218271485,0.00879597702619126,0.00132264012973789,0
"10-19",0.00687582517844046,0.00691257994072099,0.0169512782309321,0.0176186030221231,0.0133628906151827,0.0132873713064893,0.00435659268771241,0
"20-29",0.0258696400163323,0.0189581267683887,0.117771317786501,0.0915374479801484,0.0546685105617316,0.0446256681004898,0.0132385675058721,0
"30-39",0.0173855685391566,0.0173497721551014,0.080598718222788,0.104647912233575,0.0709824746010738,0.0536984607971339,0.0155106206670614,0
"40-49",0.0161513026954952,0.0152626370498702,0.0558307464451541,0.0823299768763172,0.0734356227674753,0.0609742444507458,0.0155922427044519,0
"50-59",0.0109749014842712,0.0151762067473928,0.0455738715053155,0.0622821641655655,0.0609735424425893,0.056586603042765,0.0185102045988068,0
"60-69",0.00141900509888746,0.00427855222911239,0.01162513227861,0.0154688045037778,0.0134069287899926,0.0159161101358152,0.00467835352232342,0
"70-",0,0,0,0,0,0,0,0
