"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.0559929556677726,0.0636401901654601,0.0298030101452354,0.152325751010959,0.102919347157562,0.0179088310616911,0.0281607295525902,0.00995303627687446
"10-19",0.0695222549050175,0.0978717863923096,0.0229181061284465,0.0305544227814493,0.152950569738943,0.0999129105493734,0.0143739759153349,0.0193780974742316
"20-29",0.0364120795053181,0.0256313627418163,0.185078213534134,0.04034631473404,0.0237359902435148,0.0627646266659069,0.0217990941984419,0.0126816451940679
"30-39",0.163865683781329,0.0300882126081813,0.0355249280412759,0.166033032003225,0.0408149464619736,0.0135762392624339,0.0253033931889386,0.0106214571539575
"40-49",0.128415831141652,0.174694914425475,0.0242406101665038,0.0473397640376372,0.137827814426256,0.0390007788729476,0.017679770123794,0.0182646572630357
"50-59",0.0223451762112687,0.11411579854704,0.0640982455278859,0.0157464022234885,0.0390003298495095,0.118577384499212,0.0426947190878925,0.0223655581602802
"60-69",0.0302124651483507,0.0141164921997923,0.0191423546013087,0.0252351760076969,0.0152018810613735,0.0367113095694466,0.113982207842305,0.0376315266549357
"70-",0.0121194888839961,0.0215996877447384,0.0126391819061607,0.0120225926530486,0.0178245551740227,0.0218268927547699,0.0427108578541918,0.106858234256773
