"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.000724219419599299,0.00271451414518618,0.00181093612417887,0.00168208340920934,0.00114298518530944,0.000147782812285957,0
"10-19",0.000724219419599299,0.000795401215079433,0.00216854514673428,0.00197431482789054,0.00173644858443021,0.00172661530490595,0.000486776035974475,0
"20-29",0.00271451414518618,0.00216854514673428,0.0150250631871355,0.0102575381076409,0.00710393136571588,0.00579884160355545,0.00147918749224929,0
"30-39",0.00181093612417887,0.00197431482789054,0.0102575381076409,0.0117255031160256,0.009223858900734,0.00697779734784283,0.00173305125932725,0
"40-49",0.00168208340920934,0.00173644858443021,0.00710393136571588,0.009223858900734,0.00954263466442285,0.00792324239650911,0.00174217115064075,0
"50-59",0.00114298518530944,0.00172661530490595,0.00579884160355545,0.00697779734784283,0.00792324239650911,0.00735309434895972,0.00206820436647587,0
"60-69",0.000147782812285957,0.000486776035974475,0.00147918749224929,0.00173305125932725,0.00174217115064075,0.00206820436647587,0.000522727403208217,0
"70-",0,0,0,0,0,0,0,0
