"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.0160276200644358,0.00664458550681764,0.0147561060328175,0.0084020340350388,0.00497316655622078,0.0160365917933981,0.00949191986996494
"10-19",0.0175090031117668,0.047177105766968,0.0190393712529287,0.0145792054025096,0.0157372885491732,0.0115339882467917,0.00777545069598005,0.0155085659425274
"20-29",0.00811807849526259,0.0212934274858864,0.100623405215383,0.0454820541967845,0.0265135346572802,0.0273851451759174,0.023760282458731,0.0186229503530153
"30-39",0.0158740028456742,0.0143567507377486,0.0400469463731958,0.06459146462632,0.0335426479586879,0.027092848017123,0.0379230496726677,0.0220035195574016
"40-49",0.0104834923043008,0.0179745932367511,0.0270772043285119,0.0389048909090504,0.0409754473642496,0.0290810891027353,0.0347853343972368,0.0299063456699187
"50-59",0.00620511091114442,0.0131735755867545,0.0279670230278966,0.0314236419976722,0.0290807542865857,0.0406498684556749,0.0472334134200365,0.0369644928068587
"60-69",0.0172049864600117,0.00763616759525605,0.0208645252922845,0.0378208102799728,0.0299100334723933,0.0406139330373612,0.0584905885132173,0.050596537198429
"70-",0.0115580024177253,0.017286536109787,0.0185605931674593,0.0249061262252007,0.0291857274281128,0.0360742179760409,0.0574258261699567,0.0686464595290925
