"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.720442300989746,0.0318934901790621,0.0166277605405327,0.0367331732992485,0.0446527934427229,0.0206535040144906,0.022992335029449,0.0131905733292934
"10-19",0.0348413062292017,1.0746391984907,0.0666802378765624,0.0626758918364051,0.0565008854894823,0.0407473458836258,0.0180257028298064,0.014709210014753
"20-29",0.0203151069588876,0.0745744589516228,0.14124734422078,0.0277825819105943,0.0207201875741781,0.0109809305028089,0.00544266935089266,0.0045486545594847
"30-39",0.0395160143323787,0.0617195609444167,0.0244625619385755,0.0450694441454847,0.030812802814712,0.0112986713658925,0.0067924317674199,0.00412383223685527
"40-49",0.0557147488893926,0.0645333807673656,0.0211606924509803,0.0357386433410055,0.0412265667216672,0.0150771547029459,0.00628975188395658,0.00387432426892982
"50-59",0.0257697548764726,0.0465396903024318,0.0112142526273644,0.0131047649116387,0.0150769811167756,0.00944762271656633,0.0041039093819397,0.00404201295936719
"60-69",0.024667511523775,0.0177028050479244,0.00477935026767803,0.00677411957721322,0.00540821851053225,0.00352877102798573,0.00328952742724702,0.00593141820434717
"70-",0.0160617325598766,0.0163955385048986,0.00453342382047616,0.00466782988761086,0.00378096920730922,0.00394466271511073,0.00673201388087746,0.00883860984610295
