"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.00629279893334372,0.0212037229986961,0.0163507788617438,0.0130851648614606,0.00889154586335819,0.00133701069696573,0
"10-19",0.00687442275663385,0.00691108525640123,0.016962935029061,0.0178259951385206,0.0135080792523835,0.0134317394217066,0.00440392733807983,0
"20-29",0.025905827762861,0.0189711636057074,0.117744422687585,0.0926148096559758,0.0552624873273002,0.0451105287584317,0.013382405364762,0
"30-39",0.0175894853020891,0.0175539998093453,0.0815473351227574,0.10586763001291,0.0717537036000419,0.0542818979117098,0.0156791445247834,0
"40-49",0.0163267876032824,0.0154284665501762,0.0564373509758433,0.0832244971928916,0.0742335053737645,0.0616367334069969,0.015761653390684,0
"50-59",0.0110941444711219,0.0153410971770898,0.0460690344521933,0.0629588637508213,0.0616360237714781,0.0572014200023729,0.018711319122408,0
"60-69",0.00143442267749536,0.00432503896504596,0.011751440063461,0.0156368740262864,0.0135525959047002,0.0160890396618215,0.00472918412416025,0
"70-",0,0,0,0,0,0,0,0
