"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.00316351344746914,0.011608267688498,0.00763795771580638,0.00712194240082073,0.00483940012141941,0.00120032832533251,0
"10-19",0.00316351344746914,0.00348022562598359,0.00923690419552495,0.00832009121686682,0.00735212459298421,0.00731049048019317,0.00266876919634302,0.00185726624112233
"20-29",0.011608267688498,0.00923690419552495,0.0636709580442683,0.0432283205369414,0.0300780506656289,0.0245522996457218,0.00961286603482593,0.0152678729448789
"30-39",0.00763795771580638,0.00832009121686682,0.0432283205369414,0.0495266117651507,0.0390538254195157,0.0295439991405038,0.0113826853465489,0.00797033854388614
"40-49",0.00712194240082073,0.00735212459298421,0.0300780506656289,0.0390538254195157,0.0404035222391501,0.0335470141770218,0.0115328296561406,0.00907433738494704
"50-59",0.00483940012141941,0.00731049048019317,0.0245522996457218,0.0295439991405038,0.0335470141770218,0.0311330069212842,0.0130527545244076,0.00963173112509252
"60-69",0.00120032832533251,0.00266876919634302,0.00961286603482593,0.0113826853465489,0.0115328296561406,0.0130527545244076,0.00612316929689084,0.00609645186687898
"70-",0,0.00185726624112233,0.0152678729448789,0.00797033854388614,0.00907433738494704,0.00963173112509252,0.00609645186687898,0.00272952493429651
