"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.00626787158379733,0.0210703697896009,0.0160600747132332,0.0128632067714648,0.00874072235002565,0.00131433155277882,0
"10-19",0.00684719144973855,0.00688373375670746,0.0168615557261665,0.0175084218337571,0.0132789474453246,0.013203902534749,0.00432922539043227,0
"20-29",0.0257429023527027,0.0188577820866396,0.117088210074537,0.0909649845775634,0.0543250932428198,0.0443453380322979,0.0131554053104439,0
"30-39",0.0172767579151725,0.0172412721502187,0.0800946642263535,0.103992041907422,0.0705365760231402,0.053361137148709,0.0154131858602703,0
"40-49",0.0160498432444945,0.0151667600296014,0.0554800281786415,0.0818127954196721,0.0729743139733579,0.0605912156954937,0.015494295163347,0
"50-59",0.0109059592137699,0.0150808726660562,0.045287585001367,0.0618909193042369,0.0605905180972206,0.0562311366270241,0.0183939269689516,0
"60-69",0.00141009117528546,0.00425167516734048,0.0115521053803445,0.0153716323782731,0.0133227089805888,0.0158161281203152,0.00464896498389335,0
"70-",0,0,0,0,0,0,0,0
