"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.360221150494873,0.0027999073154466,0.00507645529302464,0.0112146378082606,0.0136324978380633,0.00630551477562399,0.00517977754681186,0
"10-19",0.00305869403577849,0.0568707876989066,0.0203574766237145,0.0191349497776545,0.017249720339939,0.012440164698271,0.00372487586942079,0
"20-29",0.00620220215454838,0.0227675823179305,0.0431228141906042,0.00848202225730444,0.00632587326639656,0.00335247808250755,0.0011002329045658,0
"30-39",0.0120642391756752,0.0188429819563304,0.00746842015984712,0.0137597012976165,0.00940714869933158,0.00344948436800697,0.00117781359085711,0
"40-49",0.0170097128359316,0.0197020411482767,0.00646035940528427,0.010911007812009,0.012586470820125,0.00460305533080939,0.00120175538868444,0
"50-59",0.00786750616378709,0.0142085674493324,0.00342371132713437,0.0040008847275233,0.00460300233495161,0.0028843592153677,0.000843265917867557,0
"60-69",0.00555716599305463,0.00365815147218769,0.000966143281528261,0.0011746382411087,0.00103332466178724,0.000725087243142874,0.000247234312949925,0
"70-",0,0,0,0,0,0,0,0
