"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.0156901485171862,0.00646641992068949,0.0143503628099001,0.00817280296369706,0.00483506831412117,0.0156253916760751,0.00924652068081097
"10-19",0.0171403401195591,0.0460850357875394,0.0185288562275281,0.0141783263511912,0.0153079311460614,0.0112137046843425,0.00757633981088177,0.015107615496319
"20-29",0.00790040318476223,0.0207224729869478,0.0979253245074116,0.0442314508727322,0.0257901710135245,0.0266246960001892,0.0231520828113966,0.0181414822223428
"30-39",0.015437521225057,0.0139619884405679,0.0389457902109044,0.0628154168687235,0.0326275103747238,0.0263405155459822,0.0369514378183229,0.0214346519382168
"40-49",0.0101974732091274,0.0174841958820856,0.0263384621940145,0.0378434562866335,0.039857522150088,0.0282735458125541,0.0338937329987344,0.0291331624700501
"50-59",0.00603280320755661,0.0128077628575545,0.0271904158756425,0.0305510491192338,0.0282732202938051,0.039521075500151,0.0460238436610844,0.0360088319198558
"60-69",0.0167638271075732,0.00744062342063523,0.0203304492792317,0.0368518178617435,0.0291433935037013,0.039573877245559,0.0569855777075788,0.0492884404832658
"70-",0.0112591877985117,0.0168396189420551,0.0180807371872246,0.0242622161138258,0.0284311747197202,0.0351415737942568,0.055941168548352,0.0668717094535008
