"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.000752756897300122,0.00283872415485274,0.00192987618433423,0.00179139080253817,0.0012172601769868,0.000157386232604677,0
"10-19",0.000752756897300122,0.000826724170131562,0.00227186320440441,0.0021039835459562,0.00184928880827074,0.00183881652942766,0.000518408367246515,0
"20-29",0.00283872415485274,0.00227186320440441,0.015777598017239,0.0109312313346543,0.00756556853288724,0.00617566968267514,0.00157531003179588,0
"30-39",0.00192987618433423,0.0021039835459562,0.0109312313346543,0.0124956390176174,0.00982325603368957,0.00743123790560213,0.00184567071364514,0
"40-49",0.00179139080253817,0.00184928880827074,0.00756556853288724,0.00982325603368957,0.0101627469103119,0.00843812112864168,0.00185538324593081,0
"50-59",0.0012172601769868,0.00183881652942766,0.00617566968267514,0.00743123790560213,0.00843812112864168,0.00783092295828152,0.00220260318815919,0
"60-69",0.000157386232604677,0.000518408367246515,0.00157531003179588,0.00184567071364514,0.00185538324593081,0.00220260318815919,0.000556695974298933,0
"70-",0,0,0,0,0,0,0,0
