"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.00187631631105879,0.000865921278186351,0.00169227702188597,0.00111780535946212,0.000661361417513709,0.00183692493184422,0.00123380166310367
"10-19",0.00187631631105879,0.00551360240624262,0.00248120769524066,0.00167198949676508,0.00209368652998873,0.00153385870556514,0.000890669853892537,0.00201587189044759
"20-29",0.00086592127818635,0.00248120769524066,0.0131132254329734,0.00521602616938465,0.00352735671083907,0.00364184030991448,0.00272173852671651,0.00242069332992929
"30-39",0.00169227702188597,0.00167198949676508,0.00521602616938465,0.00740755394099124,0.00446250889991773,0.00360296888642804,0.00434400060295285,0.00286011464445249
"40-49",0.00111780535946212,0.00209368652998873,0.00352735671083907,0.00446250889991773,0.00545136742830447,0.00386737707140924,0.00398454715355836,0.00388735888317559
"50-59",0.000661361417513709,0.00153385870556514,0.00364184030991448,0.00360296888642804,0.00386737707140924,0.0054058625062461,0.00541053563162111,0.00480480801836504
"60-69",0.00183692493184422,0.000890669853892537,0.00272173852671651,0.00434400060295285,0.00398454715355836,0.00541053563162111,0.00669936912391705,0.00657676135048738
"70-",0.00123380166310367,0.00201587189044759,0.00242069332992929,0.00286011464445249,0.00388735888317559,0.00480480801836504,0.00657676135048738,0.00892296996745361
