"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.00189399994813459,0.00087636249759977,0.001713213711308,0.00113152482136282,0.000669626491470178,0.00185808599776623,0.00124813488718855
"10-19",0.00189399994813459,0.00557082728737699,0.00251112592754295,0.00169267519086714,0.00211938353737651,0.00155302743132469,0.000900916442810814,0.0020392905195484
"20-29",0.00087636249759977,0.00251112592754295,0.0132713438063318,0.00528055834615786,0.00357064996900329,0.00368735261030275,0.00275303752758932,0.00244881481896291
"30-39",0.001713213711308,0.00169267519086714,0.00528055834615786,0.00749919948970088,0.00451727981357967,0.00364799540826709,0.00439400142161568,0.0028933409443784
"40-49",0.00113152482136282,0.00211938353737651,0.00357064996900329,0.00451727981357967,0.00551827516595866,0.00391570791845641,0.00403043049642484,0.00393251880444748
"50-59",0.000669626491470178,0.00155302743132469,0.00368735261030275,0.00364799540826709,0.00391570791845641,0.00547341989957061,0.00547278217370164,0.00486062605790212
"60-69",0.00185808599776623,0.000900916442810814,0.00275303752758932,0.00439400142161568,0.00403043049642484,0.00547278217370164,0.00677681957086438,0.00665316438754615
"70-",0.00124813488718855,0.0020392905195484,0.00244881481896291,0.0028933409443784,0.00393251880444748,0.00486062605790212,0.00665316438754615,0.00902662919557007
