"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.0363643891096342,0.000622850539224761,0.000755491222776097,0.00146954687699273,0.00207195580364374,0.000958342166825228,0.000676919266197039,0
"10-19",0.000622850539224761,0.0276395203927744,0.00302965238918164,0.00250741095414176,0.0026217248367923,0.00189071547951831,0.000486785429956412,0
"20-29",0.000755491222776097,0.00302965238918164,0.00641764887936103,0.00111146962852632,0.000961447416542349,0.000509525585800635,0.000143783945096816,0
"30-39",0.00146954687699273,0.00250741095414176,0.00111146962852632,0.00180304762543209,0.00142975972377551,0.000524269063081914,0.000153922577646336,0
"40-49",0.00207195580364374,0.0026217248367923,0.000961447416542349,0.00142975972377551,0.00191297380516258,0.000699594272112025,0.000157051411668695,0
"50-59",0.000958342166825228,0.00189071547951831,0.000509525585800635,0.000524269063081914,0.000699594272112025,0.000438378650866654,0.000110202212580195,0
"60-69",0.000676919266197039,0.000486785429956412,0.000143783945096816,0.000153922577646336,0.000157051411668695,0.000110202212580195,3.23098179773764e-05,0
"70-",0,0,0,0,0,0,0,0
