"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.00645368222496525,0.00801305334517739,0.00419681346474706,0.0188869660136555,0.0148010576859049,0.00257547873314682,0.00348225320444223,0.00139687803677289
"10-19",0.00801305334517739,0.0123232165603274,0.00322729200566148,0.00378846216618078,0.0219961578490423,0.0143685299950791,0.00177743348581488,0.00271965639461115
"20-29",0.00419681346474706,0.00322729200566148,0.0260624257350583,0.00500256502988281,0.00341352496424699,0.00902621508992442,0.00269559655706719,0.00177982990807533
"30-39",0.0188869660136555,0.00378846216618078,0.00500256502988281,0.0205865404357236,0.00586968722319968,0.00195240635059124,0.00312892540127174,0.00149068885153775
"40-49",0.0148010576859049,0.0219961578490423,0.00341352496424699,0.00586968722319968,0.019821321145014,0.00560872321691071,0.00218621595198413,0.00256338848469776
"50-59",0.00257547873314682,0.0143685299950791,0.00902621508992442,0.00195240635059124,0.00560872321691071,0.0170526781428613,0.00527947339144485,0.00313893731572663
"60-69",0.00348225320444223,0.00177743348581488,0.00269559655706719,0.00312892540127174,0.00218621595198413,0.00527947339144485,0.0140946244935533,0.005281469052479
"70-",0.00139687803677289,0.00271965639461115,0.00177982990807533,0.00149068885153775,0.00256338848469776,0.00313893731572663,0.005281469052479,0.0149972245985316
