"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.0146019823585201,0.00639364806156673,0.0141846367047648,0.0080791733711772,0.0047786619898833,0.015457436698577,0.0091462872091847
"10-19",0.0159515981490353,0.0442238936475268,0.0183203360058856,0.014014587020371,0.0151325598123961,0.0110828846377084,0.00749501282964444,0.0149438470042057
"20-29",0.00781149355089589,0.0204892662197757,0.0968232915421841,0.0437206410643165,0.0254947126238215,0.0263140899988355,0.0229036632371332,0.0179448262253076
"30-39",0.0152592399997344,0.0138007475022829,0.0384960222009544,0.0620899889113954,0.0322537217840906,0.0260332248183331,0.0365545822721821,0.0212022975585498
"40-49",0.0100806485082819,0.0172838927372223,0.0260367224489381,0.0374099125676182,0.0394009048090924,0.0279437041869871,0.0335295577796279,0.0288173552475685
"50-59",0.00596242400468271,0.0126583463906982,0.0268732101373979,0.0301946379435337,0.0279433824657679,0.0390600192225427,0.0455297940412307,0.0356184915575589
"60-69",0.0165836352593941,0.0073607532648042,0.0201123055555904,0.0364560322261287,0.0288302588686018,0.0391490657249637,0.056370854984149,0.0487541474587626
"70-",0.0111371367568611,0.0166570753101646,0.017884739674171,0.0239992105753769,0.0281229771346021,0.0347606346214154,0.055334759097274,0.0661468115353015
