"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.00754073862810656,0.00936276977743244,0.00490372353416367,0.022068281210991,0.0172941436436371,0.0030092916403258,0.00406880294632523,0.00163216777700946
"10-19",0.00936276977743244,0.014398935661801,0.00377089615555127,0.00442658965871123,0.0257011844370902,0.0167887611112715,0.00207682387792909,0.00317775454618573
"20-29",0.00490372353416367,0.00377089615555127,0.0304523733322756,0.00584519566434888,0.00398849814084888,0.0105465881990429,0.00314964207643134,0.00207962395287525
"30-39",0.022068281210991,0.00442658965871123,0.00584519566434888,0.0240541314665636,0.00685837567391594,0.00228126912241068,0.00365596070822354,0.00174178005880031
"40-49",0.0172941436436371,0.0257011844370902,0.00398849814084888,0.00685837567391594,0.0231600188556103,0.00655345496444,0.00255446154673323,0.00299516491385784
"50-59",0.0030092916403258,0.0167887611112715,0.0105465881990429,0.00228126912241068,0.00655345496444,0.0199250264116057,0.00616874639177687,0.00366765902670895
"60-69",0.00406880294632523,0.00207682387792909,0.00314964207643134,0.00365596070822354,0.00255446154673323,0.00616874639177687,0.0164687190447724,0.00617107820138947
"70-",0.00163216777700946,0.00317775454618573,0.00207962395287525,0.00174178005880031,0.00299516491385784,0.00366765902670895,0.00617107820138947,0.0175233528553764
