"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.159945070127987,0.000880422335651053,0.00299133412124184,0.00660829787653481,0.00803303754034585,0.00371556537220686,0.00305221742768245,0
"10-19",0.000961797032410876,0.0194342775540416,0.0119957747939936,0.0112753929413693,0.0101645092995579,0.00733044752446428,0.00219490720245267,0
"20-29",0.00365468774190388,0.0134159451653969,0.0254103972253183,0.00499808648571591,0.00372756174459463,0.00197546939745532,0.00064831935647359,0
"30-39",0.00710893097839492,0.0111033490139006,0.00440081489274974,0.00810799300177271,0.00554322322636669,0.00203263097872405,0.00069403427774384,0
"40-49",0.0100230833252017,0.0116095552000491,0.00380680857193135,0.00642938193704689,0.00741665935322793,0.00271238013105997,0.000708142136994208,0
"50-59",0.00463597890227742,0.00837249028540748,0.00201744404766286,0.00235754720760381,0.00271234890290794,0.00169962732671028,0.000496899897230179,0
"60-69",0.00327459601097454,0.00215558941973982,0.000569306178666669,0.000692163182363102,0.000608893241583768,0.000427262348645277,0.000145684418276094,0
"70-",0,0,0,0,0,0,0,0
