"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.00633275227349597,0.0214261034344599,0.01679485511935,0.0134298040981407,0.00912573286915437,0.00137222510587185,0
"10-19",0.00691806885968837,0.00695501007597518,0.0171498894725195,0.0183106856930521,0.0138638572782507,0.0137855067964853,0.00451991870481156,0
"20-29",0.0261775229395561,0.0191802514391271,0.119123174337971,0.0951329089782666,0.0567179998600941,0.0462986573270932,0.0137348733709879,0
"30-39",0.018067204001132,0.0180312947842244,0.0837645214460896,0.108737229273709,0.0736435645150182,0.0557115835182659,0.0160921044269345,0
"40-49",0.0167568052359687,0.0158348240543648,0.0579238072617594,0.0854164777670248,0.076188679718068,0.063260131887471,0.0161767864249939,0
"50-59",0.0113863438834051,0.0157451535322772,0.0472824083023738,0.0646170847189989,0.0632594035614546,0.0587080004647027,0.0192041409406963,0
"60-69",0.00147220273925865,0.00443895255675894,0.0120609514357856,0.0160487206010557,0.0139095464175201,0.0165127954498971,0.00485374215792803,0
"70-",0,0,0,0,0,0,0,0
