"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.333676729061497,0.00480735465858916,0.00543711141914879,0.0120113803371213,0.014601016927836,0.00675348927769829,0.00554777418942683,0
"10-19",0.00525168349001339,0.202385569623854,0.0218037709832572,0.0204943898715861,0.0184752245462058,0.0133239746304868,0.00398950920583657,0
"20-29",0.00664283682448665,0.0243851023325912,0.0461864690867529,0.00908462645894523,0.00677529413488048,0.00359065446511348,0.00117839881252529,0
"30-39",0.0129213415265445,0.0201816792332148,0.00799901312829482,0.0147372575411321,0.0100754783923827,0.00369455254993318,0.00126149120889082,0
"40-49",0.0182181657393425,0.0211017701771209,0.00691933482454603,0.0116861789860754,0.013480675052318,0.00493007881631628,0.0012871339487256,0
"50-59",0.00842645214705779,0.0152180133319922,0.0036669484666219,0.00428512707845675,0.00493002205537447,0.00308927815209003,0.000903175638662013,0
"60-69",0.00595197415024217,0.00391804438221635,0.00103478280912848,0.00125809026681996,0.00110673708207602,0.000776600974894492,0.000264799043535853,0
"70-",0,0,0,0,0,0,0,0
