"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.000749485187458777,0.00281749138546328,0.00189073675415367,0.00175649276199399,0.00119354676115977,0.000154320195244905,0
"10-19",0.000749485187458778,0.000823134725435475,0.00225464203793408,0.0020612423215031,0.00181326285808863,0.00180299458945435,0.000508309266484707,0
"20-29",0.00281749138546328,0.00225464203793408,0.0156559567253181,0.0107091833431809,0.00741818387677181,0.00605536161217033,0.00154462145547776,0
"30-39",0.00189073675415367,0.0020612423215031,0.0107091833431809,0.0122429522780178,0.00963188942242094,0.00728647014116141,0.00180971524747621,0
"40-49",0.00175649276199399,0.00181326285808863,0.00741818387677181,0.00963188942242094,0.00996476668555367,0.00827373829668409,0.00181923857015725,0
"50-59",0.00119354676115977,0.00180299458945435,0.00605536161217033,0.00728647014116141,0.00827373829668409,0.0076783689390752,0.00215969432915746,0
"60-69",0.000154320195244905,0.000508309266484707,0.00154462145547776,0.00180971524747621,0.00181923857015725,0.00215969432915746,0.000545850993597716,0
"70-",0,0,0,0,0,0,0,0
