"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.000745757451217215,0.0028038127459118,0.00188173654212312,0.00174810059826885,0.00118784423846796,0.000153582884865601,0
"10-19",0.000745757451217215,0.000819033790380126,0.00224375770217851,0.0020514383152685,0.00180459945843731,0.00179438024949369,0.000505880668610779,0
"20-29",0.0028038127459118,0.00224375770217851,0.0155809298472037,0.0106582451126966,0.00738274130906864,0.00602643033094682,0.00153724156958912,0
"30-39",0.00188173654212312,0.0020514383152685,0.0106582451126966,0.0121845924358157,0.00958587022167929,0.00725165687478985,0.00180106879758394,0
"40-49",0.00174810059826885,0.00180459945843731,0.00738274130906864,0.00958587022167929,0.00991715706522531,0.0082342080646745,0.00181054661977396,0
"50-59",0.00118784423846796,0.00179438024949369,0.00602643033094682,0.00725165687478985,0.0082342080646745,0.00764168326027648,0.0021493757506818,0
"60-69",0.000153582884865601,0.000505880668610779,0.00153724156958912,0.00180106879758394,0.00181054661977396,0.0021493757506818,0.000543243029018001,0
"70-",0,0,0,0,0,0,0,0
