"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.333676729061497,0.00286886251240773,0.00458909563158162,0.0101379884988596,0.0123237244622571,0.00570016057295927,0.00468249854289094,0
"10-19",0.0031340225470179,0.0663625800757221,0.0184030788515525,0.0172979193879295,0.0155936793862422,0.0112458599904219,0.00336727314510791,0
"20-29",0.00560676636958338,0.0205818049260584,0.0389828545314931,0.00766771478150492,0.0057185645685974,0.00303062700947022,0.000994606221195921,0
"30-39",0.0109060247955932,0.0170339816250496,0.00675142246942747,0.0124387158897123,0.00850402544883237,0.00311832031027266,0.00106473885666772,0
"40-49",0.0153767135459835,0.0178105677579852,0.00584013950954604,0.00986350817568411,0.0113781201495129,0.00416114392646604,0.00108638214779895,0
"50-59",0.00711219464835768,0.0128444891265681,0.00309502158262631,0.00361678406796317,0.00416109601841891,0.00260744939354514,0.000762309075244897,0
"60-69",0.00502365621494644,0.00330695455227344,0.00087338972901731,0.00106186835297606,0.000934121432710974,0.000655476017802168,0.000223498847137405,0
"70-",0,0,0,0,0,0,0,0
