"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.333676729061497,0.00679497909418994,0.00633916742847269,0.0140041549886055,0.0170234309721037,0.0078739418704844,0.00646818995069294,0
"10-19",0.00742301786704792,0.34185614646468,0.0254211738880607,0.0238945570037111,0.0215403975840102,0.0155345181446735,0.00465139756455284,0
"20-29",0.0077449313770063,0.0284307667307167,0.0538491375107302,0.010591831527595,0.00789936431077964,0.00418636994489086,0.00137390367683153,0
"30-39",0.015065085304076,0.0235299654144494,0.00932610711346254,0.0171822748860246,0.0117470729450808,0.00430750547153284,0.00147078170120657,0
"40-49",0.021240690866592,0.0246027060837504,0.00806730239001171,0.0136250003873249,0.0157172162969684,0.0057480144589511,0.00150067875657405,0
"50-59",0.00982446134910642,0.0177427915308991,0.00427532167165642,0.00499606057491314,0.00574794828095955,0.00360181168446375,0.00105301899288512,0
"60-69",0.00693944960102243,0.00456807621112622,0.001206460742384,0.00146681651831078,0.00129035274831237,0.000905444679252504,0.000308731115194987,0
"70-",0,0,0,0,0,0,0,0
