"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.0168725630603212,0.00709066685896047,0.0157719839553453,0.00897597038537151,0.00531892946084835,0.0170661323928087,0.0101063370786498
"10-19",0.0184320415594432,0.0499113714781233,0.0203175711442149,0.0155829046754389,0.0168122903780611,0.0123358968965558,0.00827397375411495,0.0165124439701185
"20-29",0.00866308215700383,0.0227229524600046,0.107378713670611,0.0486132471163099,0.028324653399737,0.0292891166662405,0.0252830598196779,0.0198284242013126
"30-39",0.0169668419047864,0.0153451352127094,0.0428039615772547,0.0690382368812549,0.0358339199137431,0.0289764973417804,0.0403557188494884,0.023427819514935
"40-49",0.0111996114353087,0.0192024235928285,0.0289268269037967,0.0415624534713198,0.0437744480128323,0.0311029722880707,0.0370176777249224,0.0318421999207137
"50-59",0.00663652561401413,0.0140894777001694,0.0299114499853682,0.0336083928215716,0.0311026141935927,0.0434760791669132,0.0502618687200199,0.0393572248149225
"60-69",0.018309537370897,0.0081257605167295,0.0222017159093228,0.0402469210544125,0.0318295051350908,0.0432179684405699,0.0622587531164866,0.0538716789590488
"70-",0.0123061582893253,0.018405503126988,0.019762030600741,0.026518313513345,0.0310749356626409,0.038409322003253,0.0611430315725659,0.0730899827180552
