"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.00075393734710995,0.00285284992087342,0.00196898009120443,0.00182617165886572,0.00124089396547619,0.000160441974510017,0
"10-19",0.00075393734710995,0.000828019417047081,0.00228347916709748,0.00214669167014027,0.00188519378682565,0.00187451818282017,0.000528473556212905,0
"20-29",0.00285284992087342,0.00228347916709748,0.0158610518951243,0.0111531062617359,0.00771245828570149,0.00629557377041254,0.00160589555886769,0
"30-39",0.00196898009120443,0.00214669167014027,0.0111531062617359,0.0127480373061384,0.0100139800545411,0.00757551955400869,0.00188150544486531,0
"40-49",0.00182617165886572,0.00188519378682565,0.00771245828570149,0.0100139800545411,0.0103600623367838,0.00860195197908139,0.00189140655140822,0
"50-59",0.00124089396547619,0.00187451818282017,0.00629557377041254,0.00757551955400869,0.00860195197908139,0.00798296471596954,0.00224536796339719,0
"60-69",0.000160441974510017,0.000528473556212905,0.00160589555886769,0.00188150544486531,0.00189140655140822,0.00224536796339719,0.000567504538612638,0
"70-",0,0,0,0,0,0,0,0
