"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.00608953579346262,0.0201363583046313,0.0152561265370535,0.0122647480658557,0.00833406159453746,0.0012531824805613,0
"10-19",0.00665237263725381,0.00668834515683113,0.0160862757931899,0.0166186262253936,0.0126611464691629,0.0125895930114454,0.0041278088487037,0
"20-29",0.0246017659277623,0.0179907173703318,0.111455382430494,0.0863446424599981,0.0517976266816578,0.0422821780388289,0.0125433521130005,0
"30-39",0.0164119040297322,0.016365053357484,0.0760264532302672,0.0989249069128802,0.067254872732904,0.0508785184957393,0.0146960897719362,0
"40-49",0.0153031267698253,0.0144611288649268,0.0528988284482134,0.0780064677660009,0.0695791953020102,0.0577722187563442,0.0147734254772318,0
"50-59",0.0103985611480732,0.0143792373976872,0.0431805871133907,0.0590114538557038,0.0577715536137229,0.0536149916922021,0.0175381523615398,0
"60-69",0.00134448690144108,0.00405386663774727,0.0110146454641814,0.0146564695592623,0.0127028720057672,0.0150802852056519,0.00443267260703016,0
"70-",0,0,0,0,0,0,0,0
