"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.00629013746475992,0.0211434238975051,0.0161146662276556,0.0129070941349642,0.00877054440496408,0.00131881585810333,0
"10-19",0.00687151529679088,0.00690823973136177,0.0169196861736982,0.017567888826972,0.0133242532546594,0.013248952301922,0.00434399606867421,0
"20-29",0.0258321568264029,0.0189227945522717,0.117488909400582,0.0912739545367929,0.0545104424451335,0.0444966377823762,0.0132002896122436,0
"30-39",0.0173354851873515,0.01729983177505,0.0803667122595109,0.104346028253128,0.0707772364126473,0.0535431974750642,0.0154657733761636,0
"40-49",0.0161046029414421,0.0152185067769214,0.055669317848542,0.0820919286059201,0.0732232915650556,0.0607979439830307,0.0155471594122145,0
"50-59",0.0109431687374002,0.0151323263783647,0.0454420995590724,0.0621020819887118,0.0607972440046552,0.0564229889681222,0.0184566843336905,0
"60-69",0.00141490219831234,0.004266181255664,0.0115915194593544,0.0154240781198172,0.0133681640978248,0.0158700904157445,0.00466482656644963,0
"70-",0,0,0,0,0,0,0,0
