"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.00235764549629609,0.00101602424847367,0.00199326286901706,0.0013150363437466,0.000780180120711909,0.00214113641553908,0.00143985609254784
"10-19",0.00235764549629609,0.00766115042244318,0.00291131220281835,0.00196936703517619,0.00246310670819538,0.00180942830708448,0.00103797481618167,0.00235253810240083
"20-29",0.00101602424847367,0.00291131220281835,0.0153863351683747,0.00614374074267628,0.00414974059020786,0.0042961251402962,0.00317169296326401,0.00282496785627669
"30-39",0.00199326286901706,0.00196936703517619,0.00614374074267628,0.00872505034924108,0.00524989555472188,0.0042502701643862,0.0050628123720497,0.00333777593218739
"40-49",0.0013150363437466,0.00246310670819538,0.00414974059020786,0.00524989555472188,0.00641323306482121,0.00456218132855927,0.00464416609060692,0.00453657791138025
"50-59",0.000780180120711909,0.00180942830708448,0.0042961251402962,0.0042502701643862,0.00456218132855927,0.00637706759267923,0.00630539192057071,0.00560724815475005
"60-69",0.00214113641553908,0.00103797481618167,0.00317169296326401,0.0050628123720497,0.00464416609060692,0.00630539192057071,0.00781279674923192,0.00767513141124426
"70-",0.00143985609254784,0.00235253810240083,0.00282496785627669,0.00333777593218739,0.00453657791138025,0.00560724815475005,0.00767513141124426,0.0104131750308558
