"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.00806710278120657,0.0100163166814717,0.00524601683093382,0.0236087075170693,0.0185013221073811,0.00321934841643352,0.00435281650555278,0.00174609754596612
"10-19",0.0100163166814717,0.0154040207004093,0.00403411500707686,0.00473557770772598,0.0274951973113029,0.0179606624938488,0.0022217918572686,0.00339957049326394
"20-29",0.00524601683093382,0.00403411500707686,0.0325780321688229,0.00625320628735351,0.00426690620530874,0.0112827688624055,0.00336949569633399,0.00222478738509416
"30-39",0.0236087075170693,0.00473557770772598,0.00625320628735351,0.0257331755446545,0.0073371090289996,0.00244050793823905,0.00391115675158968,0.00186336106442219
"40-49",0.0185013221073811,0.0274951973113029,0.00426690620530874,0.0073371090289996,0.0247766514312675,0.00701090402113839,0.00273276993998016,0.0032042356058722
"50-59",0.00321934841643352,0.0179606624938488,0.0112827688624055,0.00244050793823905,0.00701090402113839,0.0213158476785766,0.00659934173930606,0.00392367164465829
"60-69",0.00435281650555278,0.0022217918572686,0.00336949569633399,0.00391115675158968,0.00273276993998016,0.00659934173930606,0.0176182806169416,0.00660183631559876
"70-",0.00174609754596612,0.00339957049326394,0.00222478738509416,0.00186336106442219,0.0032042356058722,0.00392367164465828,0.00660183631559876,0.0187465307481645
