"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.360221150494873,0.0063731647277626,0.00687225343140217,0.0151818205245794,0.0184549995298774,0.00853609320918897,0.0070121259747702,0
"10-19",0.00696221651134619,0.307604408985785,0.0275589423143833,0.0259039460959862,0.023351815972803,0.0168408780537025,0.00504255223331678,0
"20-29",0.00839623370610824,0.0308216238847057,0.0583775273664484,0.0114825411036486,0.00856365352440779,0.00453841857681091,0.00148944074502799,0
"30-39",0.0163319687235721,0.0255086945383274,0.0101103768492133,0.0186272012653288,0.0127349314033205,0.00466974087552335,0.00159446563085897,0
"40-49",0.023026905715986,0.0266716462711522,0.00874571418999014,0.0147707812928376,0.0170389400260651,0.00623138803872754,0.00162687684947029,0
"50-59",0.0106506396904461,0.0192348540019951,0.00463485061088973,0.00541619933798028,0.00623131629556338,0.00390470246875686,0.00114157158157439,0
"60-69",0.00752301573838676,0.00495222405324328,0.00130791686294016,0.00159016699983697,0.00139886368397205,0.000981587152279561,0.000334693552381933,0
"70-",0,0,0,0,0,0,0,0
