"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.0892476978652992,0.101436696745877,0.0475032977487438,0.242793445018218,0.164044113943758,0.0285450540099711,0.0448856512895695,0.0158642379900677
"10-19",0.110812174972369,0.155998759438687,0.0365293845806697,0.0487009814060754,0.243789349456385,0.159252126400704,0.0229108151965847,0.0308869315427109
"20-29",0.0580375554671475,0.0408540697767474,0.294997902610288,0.0643083699443707,0.037833017752377,0.100041127861575,0.0347457809568625,0.0202133933673824
"30-39",0.261187052231716,0.0479578846327523,0.0566235164174253,0.264641608916031,0.0650553264564161,0.0216392952540294,0.0403313160264736,0.0169296403031501
"40-49",0.204683199201928,0.278447864652066,0.038637336186484,0.0754552944644307,0.21968504774662,0.0621637076995302,0.0281799516299597,0.0291122087338365
"50-59",0.03561618620533,0.181890242958641,0.102166795489617,0.0250983383775226,0.0621629919968555,0.189001606706291,0.0680515136976984,0.035648673185265
"60-69",0.0481559319233762,0.0225004094843673,0.0305111787637121,0.040222584020669,0.0242304209836623,0.0585145010764131,0.181677311479822,0.0599812437306768
"70-",0.0193173671455834,0.0344279451376907,0.0201457107340169,0.0191629233331295,0.0284107258811868,0.0347900893368482,0.068077237428861,0.17032234308104
