,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80
2020-12-28,0,39,817,1003,1112,1266,992,641,1610
2020-12-29,0,39,817,1003,1112,1266,992,641,1610
2020-12-30,0,39,817,1003,1112,1266,992,641,1610
2020-12-31,0,39,817,1003,1112,1266,992,641,1610
2021-01-01,0,39,817,1003,1112,1266,992,641,1610
2021-01-02,0,39,817,1003,1112,1266,992,641,1610
2021-01-03,0,39,817,1003,1112,1266,992,641,1610
2021-01-04,0,28,546,672,757,903,988,1506,3821
2021-01-05,0,28,546,672,757,903,988,1506,3821
2021-01-06,0,28,546,672,757,903,988,1506,3821
2021-01-07,0,28,546,672,757,903,988,1506,3821
2021-01-08,0,28,546,672,757,903,988,1506,3821
2021-01-09,0,28,546,672,757,903,988,1506,3821
2021-01-10,0,28,546,672,757,903,988,1506,3821
2021-01-11,0,44,962,1181,1303,1440,1082,581,1118
2021-01-12,0,44,962,1181,1303,1440,1082,581,1118
2021-01-13,0,44,962,1181,1303,1440,1082,581,1118
2021-01-14,0,44,962,1181,1303,1440,1082,581,1118
2021-01-15,0,44,962,1181,1303,1440,1082,581,1118
2021-01-16,0,44,962,1181,1303,1440,1082,581,1118
2021-01-17,0,44,962,1181,1303,1440,1082,581,1118
2021-01-18,0,8,101,130,163,226,265,355,382
2021-01-19,0,8,101,130,163,226,265,355,382
2021-01-20,0,8,101,130,163,226,265,355,382
2021-01-21,0,8,101,130,163,226,265,355,382
2021-01-22,0,8,101,130,163,226,265,355,382
2021-01-23,0,8,101,130,163,226,265,355,382
2021-01-24,0,8,101,130,163,226,265,355,382
2021-01-25,0,2,12,18,28,52,85,152,294
2021-01-26,0,2,12,18,28,52,85,152,294
2021-01-27,0,2,12,18,28,52,85,152,294
2021-01-28,0,2,12,18,28,52,85,152,294
2021-01-29,0,2,12,18,28,52,85,152,294
2021-01-30,0,2,12,18,28,52,85,152,294
2021-01-31,0,2,12,18,28,52,85,152,294
2021-02-01,0,0,0,0,0,0,0,0,1473
2021-02-02,0,0,0,0,0,0,0,0,1473
2021-02-03,0,0,0,0,0,0,0,0,1473
2021-02-04,0,0,0,0,0,0,0,0,1473
2021-02-05,0,0,0,0,0,0,0,0,1473
2021-02-06,0,0,0,0,0,0,0,0,1473
2021-02-07,0,0,0,0,0,0,0,0,1473
2021-02-08,0,0,2,2,4,7,83,305,3204
2021-02-09,0,0,2,2,4,7,83,305,3204
2021-02-10,0,0,2,2,4,7,83,305,3204
2021-02-11,0,0,2,2,4,7,83,305,3204
2021-02-12,0,0,2,2,4,7,83,305,3204
2021-02-13,0,0,2,2,4,7,83,305,3204
2021-02-14,0,0,2,2,4,7,83,305,3204
2021-02-15,0,11,65,92,144,260,485,997,7388
2021-02-16,0,11,65,92,144,260,485,997,7388
2021-02-17,0,11,65,92,144,260,485,997,7388
2021-02-18,0,11,65,92,144,260,485,997,7388
2021-02-19,0,11,65,92,144,260,485,997,7388
2021-02-20,0,11,65,92,144,260,485,997,7388
2021-02-21,0,11,65,92,144,260,485,997,7388
2021-02-22,0,56,306,441,688,1238,1794,2692,3994
2021-02-23,0,56,306,441,688,1238,1794,2692,3994
2021-02-24,0,56,306,441,688,1238,1794,2692,3994
2021-02-25,0,56,306,441,688,1238,1794,2692,3994
2021-02-26,0,56,306,441,688,1238,1794,2692,3994
2021-02-27,0,56,306,441,688,1238,1794,2692,3994
2021-02-28,0,56,306,441,688,1238,1794,2692,3994
