"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.0220229242027114,0.00880264753597542,0.0196707422540709,0.0111786357442486,0.00664590582672306,0.0210173256088592,0.012464360752675
"10-19",0.0240584345551776,0.0715334490429983,0.0252230743774992,0.0194349234889014,0.0209379556854568,0.0154134792849084,0.0101872163464663,0.0203651488120943
"20-29",0.0107547090168163,0.0282092143744391,0.13330438280489,0.0606302071360086,0.0352754041450248,0.0365962196988213,0.0311272077644726,0.0244548178513012
"30-39",0.0211609633207566,0.0191383785627537,0.0533848942544717,0.0861041557746709,0.0446274130602239,0.0362056075267162,0.049691869316844,0.0288940287475275
"40-49",0.0139479489500628,0.0239146175326993,0.036025348492846,0.0517617046453675,0.0545165133386017,0.0388625993781699,0.0455850133086736,0.0392716633021308
"50-59",0.00829221830671517,0.0176045466728385,0.0373738138861852,0.0419930768632632,0.0388621519456188,0.0543225718606121,0.061884540077766,0.0485401035508373
"60-69",0.0225486067853236,0.010004730837142,0.0273336150278543,0.0495579015430314,0.0391960950650004,0.0532117919239796,0.0767202968632048,0.0664410889595605
"70-",0.0151774471011574,0.0226998989865392,0.0243729332097388,0.0327056008136854,0.0383253799523051,0.0473710348258207,0.0754090029950275,0.0901434322756958
