"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.0577485103834289,0.0656355096590966,0.0307374279550695,0.157101640894141,0.106146191375373,0.0184703290652754,0.0290436567167803,0.0102650951700438
"10-19",0.0717019955703563,0.100940373754445,0.0236366606110216,0.0315123997333429,0.157746049648249,0.103045493553397,0.0148246451272019,0.01998566158646
"20-29",0.0375537123610954,0.0264349863261307,0.190880995806657,0.0416112981992987,0.0244801879574204,0.0647324944986664,0.0224825641485581,0.0130792545318357
"30-39",0.169003386738169,0.0310315724094279,0.0366387459171575,0.171238688122138,0.0420946230012104,0.0140018969290778,0.0260967338994829,0.0109544731373324
"40-49",0.132442070071836,0.180172147716043,0.0250006292971367,0.0488240140652199,0.142149148541931,0.0402235755702843,0.0182340863487974,0.0188373115336589
"50-59",0.0230457675446253,0.117693686620297,0.0661079264932817,0.0162401013031028,0.0402231124685535,0.122295157280541,0.0440333323926284,0.0230667885316421
"60-69",0.0311597206563023,0.0145590884898848,0.0197425274353431,0.026026377895727,0.0156785076953109,0.0378623242259144,0.11755590742812,0.0388113930022026
"70-",0.0124994728589069,0.0222769056773293,0.0130354598867168,0.0123995386273191,0.0183834108642973,0.0225112342767841,0.0440499771598513,0.110208574934791
